# Гарри Поттер - Тема Хедвиги (Hedwig's Theme)
# Формат: НОТА ДЛИТЕЛЬНОСТЬ
# W - целая (1000 мс)
# H - половинная (500 мс)
# Q - четвертная (250 мс)
# E - восьмая (125 мс)
# S - шестнадцатая (63 мс)

# Знаменитое начало
B4 E
E5 Q
G5 E
FS5 E
E5 Q
B5 E
A5 H

# Продолжение мелодии
FS5 E
G5 E
FS5 E
E5 E
FS5 Q
B4 E
B4 H

# Основная часть
B4 E
E5 Q
G5 E
FS5 E
E5 Q
B5 E
D6 Q
CS6 E
C6 E
GS5 Q
C6 E
B5 E
AS5 E
GS5 E
AS5 Q
FS5 E
G5 E
AS5 E

B5 Q
B4 E
G5 Q
B5 E
FS5 H

# Загадочная часть
B4 E
E5 Q
G5 E
FS5 E
E5 Q
B5 E
A5 H

FS5 E
G5 E
FS5 E
E5 E
FS5 Q
B4 E
FS5 H 
